BKL380_KIJ380,VHZ380_BWK380a,VHZ380_BWK380b,KIJ380_OZN380,KIJ380_GT380a,KIJ380_GT380b
-123.8,-53.8,-53.8,35.4,-106.7,-106.7
-2.2,30.3,30.3,-46.6,228.1,228.1
-91.6,61.8,61.8,-25.9,108.2,108.2
-323.0,9.8,9.8,55.1,205.4,205.4
-263.3,100.9,100.9,10.8,236.8,236.8
-437.0,92.0,92.0,56.1,399.8,399.8
-360.3,189.0,189.0,2.2,366.2,366.2
-563.9,86.1,86.1,80.9,640.9,640.9
-194.7,292.4,292.4,-99.1,661.9,661.9
-125.0,348.7,348.7,-133.0,553.7,553.7
-113.6,378.0,378.0,-154.0,711.8,711.8
-242.9,330.9,330.9,-96.7,691.1,691.1
-255.7,325.6,325.6,-90.4,678.5,678.5
-400.7,206.7,206.7,-13.8,790.6,790.6
-638.7,64.3,64.3,104.3,897.4,897.4
-436.5,149.8,149.8,22.7,680.1,680.1
-353.4,164.5,164.5,-20.7,931.3,931.3
-184.4,281.4,281.4,-90.0,514.5,514.5
-126.6,291.7,291.7,-118.2,493.8,493.8
-189.6,264.6,264.6,-86.6,422.2,422.2
-182.6,265.7,265.7,-88.4,401.7,401.7
-271.6,231.4,231.4,-44.4,447.9,447.9
-407.4,145.2,145.2,14.9,614.4,614.4
-482.7,102.5,102.5,50.0,691.4,691.4
-330.2,202.3,202.3,-17.6,463.7,463.7
-243.0,234.2,234.2,-70.1,791.2,791.2
-135.6,298.1,298.1,-122.6,780.2,780.2
-29.5,361.0,361.0,-177.6,839.1,839.1
162.3,467.7,467.7,-266.7,601.2,601.2
36.5,405.6,405.6,-217.9,831.6,831.6
177.9,486.2,486.2,-291.2,930.7,930.7
-87.7,349.2,349.2,-158.3,807.4,807.4
-88.3,363.7,363.7,-161.4,800.6,800.6
-44.3,369.3,369.3,-178.8,886.6,886.6
-59.7,326.8,326.8,-153.7,816.9,816.9
36.3,261.8,261.8,-152.0,771.0,771.0
-35.9,54.8,54.8,-49.8,702.2,702.2
-103.1,-31.6,-31.6,14.6,398.7,398.7
-364.1,-123.9,-123.9,115.7,591.0,591.0
-325.3,50.1,50.1,33.2,596.9,596.9
-198.5,221.0,221.0,-67.7,535.2,535.2
-129.2,261.5,261.5,-108.2,645.2,645.2
-39.9,328.3,328.3,-143.2,360.8,360.8
-92.9,273.4,273.4,-123.1,480.7,480.7
-48.5,302.9,302.9,-141.0,522.9,522.9
-60.7,250.2,250.2,-147.7,1071.4,1071.4
-60.8,238.1,238.1,-135.2,894.1,894.1
-184.3,122.9,122.9,-53.4,796.8,796.8
-297.4,52.8,52.8,12.5,637.7,637.7
-239.7,133.2,133.2,-35.2,695.2,695.2
-57.3,255.0,255.0,-115.1,394.8,394.8
-59.2,227.8,227.8,-107.4,468.3,468.3
96.6,270.5,270.5,-152.7,227.0,227.0
-67.2,117.4,117.4,-51.7,310.0,310.0
-22.9,70.2,70.2,-39.9,202.0,202.0
-262.0,-42.7,-42.7,84.6,-53.5,-53.5
-234.4,-45.0,-45.0,76.9,-21.9,-21.9
-245.0,-60.4,-60.4,87.4,-45.8,-45.8
-366.0,-135.7,-135.7,144.4,47.4,47.4
-446.4,-188.1,-188.1,180.0,180.5,180.5
-486.6,-198.3,-198.3,197.5,140.7,140.7
-411.0,-173.8,-173.8,167.2,73.0,73.0
-505.1,-255.1,-255.1,221.5,15.8,15.8
-405.4,-205.8,-205.8,180.2,-214.9,-214.9
-191.1,-102.1,-102.1,77.8,-162.7,-162.7
-217.4,-121.6,-121.6,72.1,229.2,229.2
-188.9,-63.3,-63.3,42.0,242.5,242.5
-139.2,13.3,13.3,10.0,115.9,115.9
-165.8,-9.2,-9.2,39.2,-140.4,-140.4
-313.3,-125.3,-125.3,112.3,86.5,86.5
-329.2,-126.7,-126.7,103.9,348.6,348.6
-286.8,-41.0,-41.0,73.5,98.7,98.7
-329.1,-38.8,-38.8,85.4,62.5,62.5
-241.1,47.1,47.1,13.8,360.8,360.8
-345.8,31.6,31.6,49.8,359.4,359.4
-461.0,23.3,23.3,81.9,476.4,476.4
-500.0,50.7,50.7,77.0,627.9,627.9
-359.5,154.2,154.2,0.0,647.2,647.2
-478.8,98.7,98.7,71.1,322.9,322.9
-426.1,58.5,58.5,53.3,455.0,455.0
-435.4,75.9,75.9,45.3,572.1,572.1
-204.1,203.1,203.1,-60.3,459.2,459.2
-387.4,67.8,67.8,38.2,530.4,530.4
-376.0,43.2,43.2,41.3,587.5,587.5
-358.1,39.5,39.5,38.9,556.5,556.5
-321.1,17.1,17.1,44.7,380.4,380.4
-217.5,17.8,17.8,16.6,320.7,320.7
-232.6,-44.2,-44.2,38.9,374.2,374.2
-58.5,49.6,49.6,-35.9,157.7,157.7
-59.4,50.7,50.7,-51.7,436.4,436.4
0.6,103.5,103.5,-79.0,257.2,257.2
14.3,96.5,96.5,-72.9,124.2,124.2
-157.8,-5.8,-5.8,14.1,121.3,121.3
52.7,97.5,97.5,-78.8,34.5,34.5
75.4,140.6,140.6,-95.3,-72.6,-72.6
-77.6,74.3,74.3,-54.9,438.4,438.4
-172.1,79.2,79.2,-20.1,228.8,228.8
99.7,299.0,299.0,-178.1,235.3,235.3
45.8,307.1,307.1,-164.5,227.4,227.4
-7.5,320.9,320.9,-147.1,87.9,87.9
-345.8,154.4,154.4,-8.4,493.0,493.0
-276.8,219.4,219.4,-40.3,304.1,304.1
-308.3,193.8,193.8,-31.4,498.9,498.9
-134.3,345.0,345.0,-137.1,440.6,440.6
-275.3,294.9,294.9,-71.9,340.2,340.2
-134.6,372.1,372.1,-143.0,414.8,414.8
-76.0,395.4,395.4,-171.3,477.2,477.2
-122.0,376.1,376.1,-148.7,436.4,436.4
-188.1,315.7,315.7,-120.6,674.3,674.3
-283.9,247.4,247.4,-63.8,567.8,567.8
-349.8,190.8,190.8,-17.1,406.0,406.0
-408.8,109.3,109.3,30.9,353.7,353.7
-436.2,61.9,61.9,53.6,373.6,373.6
-464.8,86.4,86.4,49.8,405.8,405.8
-431.3,153.2,153.2,9.2,541.5,541.5
-538.0,114.0,114.0,50.2,658.0,658.0
-428.2,181.0,181.0,8.0,373.7,373.7
-321.5,259.9,259.9,-39.6,168.4,168.4
-345.3,245.9,245.9,-32.1,265.6,265.6
-355.5,220.9,220.9,-27.0,370.9,370.9
-351.6,185.3,185.3,-22.8,448.3,448.3
-403.1,153.8,153.8,-0.7,244.1,244.1
-145.6,255.8,255.8,-92.6,-24.7,-24.7
-180.2,199.2,199.2,-65.2,18.3,18.3
-114.4,192.8,192.8,-79.9,40.4,40.4
-99.6,148.5,148.5,-73.5,297.6,297.6
-142.6,169.4,169.4,-50.9,-9.1,-9.1
-85.8,224.1,224.1,-81.4,131.8,131.8
-59.9,185.5,185.5,-79.0,243.9,243.9
-162.6,80.9,80.9,-2.9,95.2,95.2
-133.5,50.0,50.0,5.6,-3.6,-3.6
-161.9,-8.2,-8.2,33.9,20.2,20.2
-333.4,-130.1,-130.1,126.2,199.6,199.6
-295.8,-179.3,-179.3,120.3,394.2,394.2
-456.5,-258.2,-258.2,187.7,139.2,139.2
-369.5,-226.3,-226.3,145.2,58.1,58.1
-31.5,-15.0,-15.0,-17.2,-289.4,-289.4
95.3,55.8,55.8,-76.9,-337.3,-337.3
115.8,61.2,61.2,-92.6,-184.8,-184.8
1.8,14.0,14.0,-42.8,-172.3,-172.3
-160.1,-46.8,-46.8,26.9,-200.8,-200.8
-480.4,-194.8,-194.8,168.3,-118.1,-118.1
-587.4,-231.0,-231.0,204.2,26.3,26.3
-483.9,-112.0,-112.0,137.3,-99.8,-99.8
-548.2,-73.3,-73.3,128.3,102.2,102.2
-304.4,159.8,159.8,-21.1,17.3,17.3
-222.2,247.4,247.4,-76.1,23.8,23.8
-343.1,205.4,205.4,-22.3,-19.4,-19.4
-384.2,157.0,157.0,4.3,62.2,62.2
-370.5,121.7,121.7,5.8,255.0,255.0
-339.9,130.5,130.5,-2.9,201.0,201.0
-348.9,92.3,92.3,24.2,475.1,475.1
-226.7,180.3,180.3,-41.7,486.7,486.7
-186.1,232.2,232.2,-70.8,474.3,474.3
-105.8,304.4,304.4,-120.7,494.2,494.2
-227.7,246.6,246.6,-64.6,490.6,490.6
-243.9,255.6,255.6,-66.7,547.2,547.2
-591.0,92.3,92.3,106.9,376.1,376.1
-659.9,-6.6,-6.6,156.1,406.1,406.1
-401.9,72.2,72.2,49.3,418.2,418.2
-89.5,232.6,232.6,-89.8,233.2,233.2
-343.5,86.3,86.3,20.5,532.8,532.8
-307.0,116.9,116.9,-4.4,594.4,594.4
-226.2,160.1,160.1,-44.7,633.1,633.1
-132.6,210.2,210.2,-85.7,555.5,555.5
-69.9,229.2,229.2,-110.1,551.4,551.4
-34.1,259.4,259.4,-127.4,480.0,480.0
-193.1,209.4,209.4,-55.7,328.2,328.2
-19.1,337.1,337.1,-143.2,148.7,148.7
-127.6,297.3,297.3,-107.8,384.4,384.4
-18.1,368.6,368.6,-159.4,291.9,291.9
118.1,433.3,433.3,-230.7,477.1,477.1
156.7,446.4,446.4,-249.6,553.0,553.0
135.3,433.9,433.9,-240.2,618.2,618.2
81.0,405.5,405.5,-211.6,416.1,416.1
-36.2,318.1,318.1,-160.2,784.1,784.1
19.4,369.9,369.9,-188.2,688.2,688.2
119.1,421.1,421.1,-235.8,711.0,711.0
61.7,385.1,385.1,-201.0,616.7,616.7
-16.9,315.6,315.6,-154.2,635.9,635.9
-162.5,182.2,182.2,-73.7,805.1,805.1
-277.9,79.6,79.6,1.1,663.3,663.3
-280.0,-12.4,-12.4,20.7,975.3,975.3
-159.5,-21.6,-21.6,-2.8,773.6,773.6
231.3,158.0,158.0,-174.5,480.9,480.9
274.7,176.9,176.9,-204.1,438.3,438.3
248.2,151.8,151.8,-172.6,162.1,162.1
227.6,112.7,112.7,-152.8,175.4,175.4
182.6,66.7,66.7,-117.5,64.6,64.6
138.1,33.5,33.5,-87.0,-46.8,-46.8
-5.4,-24.9,-24.9,-16.9,-200.7,-200.7
-22.5,-23.2,-23.2,-12.2,-217.6,-217.6
-358.3,-182.4,-182.4,135.8,-115.9,-115.9
-328.1,-123.6,-123.6,93.8,133.9,133.9
-245.5,-44.1,-44.1,38.5,194.6,194.6
