MVL380_gen,MVL380_exp,SMH380_gen,MVL380_wind,BWK380_load,CST380_load,KIJ380_load,MVL380_load,WL380W_load,WL380Z_load,WTR380_load,SMH380_load
-1391.3000000000002,1000.0,-284.5,-598.9,301.79999999999995,658.5,-258.0,416.0,157.4,80.6,351.9,218.2
-1391.3000000000002,1000.0,-284.5,-597.3,288.9,630.0,-281.70000000000005,398.0,150.6,77.2,336.6,208.8
-1391.3000000000002,1000.0,-284.5,-578.1999999999999,279.6,609.5999999999999,-298.5,385.2,145.8,74.7,325.79999999999995,202.1
-1391.3000000000002,1000.0,-284.5,-552.1999999999999,265.79999999999995,579.5999999999999,-323.70000000000005,366.2,138.6,71.0,309.6,192.1
-1391.3000000000002,1000.0,-284.5,-600.0000000000001,248.70000000000002,542.7,-354.29999999999995,343.0,129.8,66.5,290.1,179.9
-1385.8000000000002,80.6,-278.5,-676.7,224.10000000000002,488.70000000000005,-399.0,308.8,116.8,59.9,261.29999999999995,162.0
-1122.9,254.6,0.0,-757.9000000000001,206.39999999999998,450.59999999999997,-123.89999999999999,284.6,107.8,55.2,240.60000000000002,149.3
-1122.9,292.2,0.0,-849.2,169.8,370.20000000000005,-190.5,234.0,88.6,45.4,198.0,122.7
-1122.9,253.7,0.0,-901.7,138.89999999999998,303.0,-246.29999999999998,191.4,72.4,37.1,162.0,100.4
-1123.1000000000001,761.7,0.0,-921.4000000000001,119.10000000000001,259.79999999999995,-282.0,164.2,62.2,31.8,138.89999999999998,86.1
-1122.9,968.2,0.0,-921.7,105.89999999999999,231.0,-306.0,146.0,55.2,28.3,123.30000000000001,76.5
-1122.9,1000.0,0.0,-921.6000000000001,101.10000000000001,220.5,-314.70000000000005,139.2,52.8,27.0,117.89999999999999,73.1
-1123.1000000000001,558.8,0.0,-921.4999999999999,115.80000000000001,252.89999999999998,-288.0,159.8,60.4,31.0,135.0,83.8
-1122.9,0.0,0.0,-921.6,149.39999999999998,326.1,-227.10000000000002,206.0,78.0,39.9,174.3,108.0
-1123.1000000000001,-218.3,0.0,-921.5,188.7,411.59999999999997,-463.20000000000005,260.0,98.4,50.4,219.89999999999998,136.4
-1122.9,-1000.0,0.0,-907.1,242.70000000000002,529.2,-365.4,334.4,126.6,64.8,282.9,175.4
-1122.9,0.0,0.0,-897.0,264.0,576.3,-326.4,364.0,137.8,70.6,307.79999999999995,190.9
-1156.9,0.0,0.0,-899.7,267.6,583.8,-320.1,369.0,139.6,71.5,312.0,193.5
-1836.7999999999997,0.0,0.0,-872.0999999999999,277.79999999999995,606.0,-301.5,383.0,145.0,74.2,324.0,200.9
-1587.4999999999998,0.0,0.0,-794.9999999999999,283.79999999999995,619.5,-290.70000000000005,391.4,148.2,75.9,330.9,205.3
-1122.9,0.0,0.0,-772.7,280.79999999999995,612.5999999999999,-296.1,387.0,146.4,75.0,327.29999999999995,203.0
-1122.9,6.1,0.0,-802.1000000000001,271.5,592.2,-313.20000000000005,374.2,141.6,72.5,316.5,196.3
-2141.4,172.6,0.0,-804.9,264.9,578.0999999999999,-324.9,365.2,138.2,70.8,309.0,191.6
-2141.4,-537.8,0.0,-756.0,272.70000000000005,594.9000000000001,-310.79999999999995,376.0,142.2,72.9,318.0,197.2
-2141.4,-500.0,0.0,-674.4000000000001,297.29999999999995,648.5999999999999,-266.4,409.8,155.2,79.4,346.5,215.0
-2141.4,1000.0,0.0,-674.0000000000003,284.4,620.4000000000001,-289.5,392.0,148.4,76.0,331.5,205.6
